名字,双打类型,单刷类型
丧尸大战,一般,一般
岩浆爆发,环境,环境
激光钻机,一般,简单
龙卷风暴,环境,环境
轨道轰炸,环境,环境
净化光束,环境,环境
暴风雪,环境,环境
减伤屏障,一般,一般
复仇战士,一般,一般
自毁程序,简单,简单
超远视距,一般,一般
给我死吧,困难,困难
生命吸取,简单,一般
力量蜕变,困难,困难
伤害散射,困难,困难
鼓舞人心,简单,简单
坚强意志,简单,简单
默哀,一般,一般
速度狂魔,一般,一般
闪避机动,简单,简单
异形寄生,一般,简单
来去无踪,一般,一般
震荡攻击,一般,一般
光子过载,简单,简单
灵能爆表,一般,一般
强行征用,简单,简单
双重压力,一般,一般
相互摧毁,简单,一般
虚空重生者,困难,困难
核弹打击,环境,环境
黑死病,一般,一般
同化体,困难,困难
虚空裂隙,困难,困难
行尸走肉,简单,简单
强磁雷场,一般,一般
扫雷专家,一般,一般
风暴英雄,困难,困难
暗无天日,简单,简单
焦土政策,简单,简单
晶矿护盾,简单,一般
无边恐惧,一般,一般
进攻部署,一般,困难
飞弹大战,环境,环境
时间扭曲,环境,环境
时空力场,环境,环境
短视症,困难,困难
极性不定,困难,
礼尚往来,困难,困难
拿钱说话,一般,
杀戮机器人,一般,
小捞油水,一般,
致命勾引,一般,
