序号,突变名称,地图,因子(点数),点数和,初筛档,标记/备注
291,杀之不尽,营救矿工,行尸走肉(2) + 异形寄生(2) + 给我死吧(7) + 减伤屏障(2) + 龙卷风(2),15,C(难·残酷+5~6),
202,烈焰之怒,天界封锁,复仇战士(5) + 虚空裂隙(10) + 杀戮机器人(6) + 龙卷风暴(2),23,含自制/未知因子·需人工,未识别:三星沙口
259,我是高手,往日神庙,进攻部署(3) + 虚空裂隙(10) + 力量蜕变(7) + 默哀(2),22,含自制/未知因子·需人工,未识别:帕姆
270,深境螺旋,升格之链,虚空重生者(5) + 虚空裂隙(10) + 力量蜕变(7),22,含自制/未知因子·需人工,未识别:AlaTao
292,塞壬亡歌,亡者之夜,力量蜕变(7) + 同化体(8) + 无边恐惧(3) + 致命勾引(3),21,含自制/未知因子·需人工,未识别:Elysia
208,黑暗深渊,升格之链,灵能爆表(5) + 同化体(8) + 行尸走肉(2) + 复仇战士(5),20,含自制/未知因子·需人工,未识别:阳光开朗小白马
298,人类灭绝计划,净网行动,黑死病(7) + 闪避机动(1) + 虚空裂隙(10) + 行尸走肉(2),20,含自制/未知因子·需人工,未识别:我玩原神怎么你了？
289,憧憬成为魔法少女,往日神庙,灵能爆表(5) + 给我死吧(7) + 力量蜕变(7),19,含自制/未知因子·需人工,未识别:gal糕手
294,极限单兵,亡者之夜,风暴英雄(10) + 坚强意志(2) + 复仇战士(5) + 行尸走肉(2),19,含自制/未知因子·需人工,未识别:Elysia
200,湮灭低语,往日神庙,虚空裂隙(10) + 无边恐惧(3) + 强磁雷场(4) + 时间扭曲(1),18,含自制/未知因子·需人工,未识别:三星沙口
204,极速闪电,黑暗杀星,同化体(8) + 力量蜕变(7) + 速度狂魔(2),17,含自制/未知因子·需人工,未识别:帕姆
216,雷霆怒吼,虚空降临,炸弹机器人(10) + 行尸走肉(2) + 暴风雪(4) + 轨道轰炸(1),17,含自制/未知因子·需人工,未识别:三星沙口
230,雷霆万钧,湮灭快车,风暴英雄(10) + 速度狂魔(2) + 相互摧毁(5),17,含自制/未知因子·需人工,未识别:骄阳
236,炽热炼狱,净网行动,虚空重生者(5) + 力量蜕变(7) + 相互摧毁(5),17,含自制/未知因子·需人工,未识别:骄阳
290,武神终极,升格之链,风暴英雄(10) + 坚强意志(2) + 复仇战士(5),17,含自制/未知因子·需人工,未识别:gal糕手
293,冥王意志,湮灭快车,虚空重生者(5) + 来去无踪(3) + 黑死病(7) + 速度狂魔(2),17,含自制/未知因子·需人工,未识别:Elysia
201,寒冰之触,聚铁成兵,风暴英雄(10) + 飞弹大战(3) + 龙卷风暴(2) + 轨道轰炸(1),16,含自制/未知因子·需人工,未识别:阳光开朗小白马
206,毁灭军团,聚铁成兵,极性不定(7) + 来去无踪(3) + 相互摧毁(5) + 时间扭曲(1),16,含自制/未知因子·需人工,未识别:骄阳
220,寒冰领域,黑暗杀星,同化体(8) + 扫雷专家(6) + 龙卷风暴(2),16,含自制/未知因子·需人工,未识别:阳光开朗小白马
223,狂风骤雨,升格之链,炸弹机器人(10) + 丧尸大战(3) + 减伤屏障(2) + 时间扭曲(1),16,含自制/未知因子·需人工,未识别:骄阳
243,毁灭之刃,熔火危机,灵能爆表(5) + 给我死吧(7) + 暴风雪(4),16,含自制/未知因子·需人工,未识别:骄阳
257,快上车,湮灭快车,风暴英雄(10) + 进攻部署(3) + 飞弹大战(3),16,含自制/未知因子·需人工,未识别:帕姆
269,炸弹快递,死亡摇篮,炸弹机器人(10) + 飞弹大战(3) + 暗无天日(2) + 时间扭曲(1),16,含自制/未知因子·需人工,未识别:星宫六喰
274,风暴之门,虚空降临,风暴英雄(10) + 暴风雪(4) + 龙卷风暴(2),16,含自制/未知因子·需人工,未识别:yuanchuanchen
205,冰火两重天,机会渺茫,灵能爆表(5) + 扫雷专家(6) + 鼓舞人心(2) + 焦土政策(2),15,含自制/未知因子·需人工,未识别:轻轻地我走了
217,炽热之光,虚空撕裂,同化体(8) + 焦土政策(2) + 相互摧毁(5),15,含自制/未知因子·需人工,未识别:轻轻地我走了
226,虚空猎手,熔火危机,灵能爆表(5) + 虚空重生者(5) + 岩浆爆发(3) + 默哀(2),15,含自制/未知因子·需人工,未识别:阳光开朗小白马
228,光明使者,克哈裂痕,虚空裂隙(10) + 轨道轰炸(1) + 晶矿护盾(2) + 默哀(2),15,含自制/未知因子·需人工,未识别:阳光开朗小白马
245,电光火石,黑暗杀星,致命勾引(3) + 给我死吧(7) + 相互摧毁(5),15,含自制/未知因子·需人工,未识别:骄阳
248,铁血战士,往日神庙,拿钱说话(5) + 给我死吧(7) + 自毁程序(3),15,含自制/未知因子·需人工,未识别:帕姆
265,虚空屏障,虚空撕裂,减伤屏障(2) + 虚空裂隙(10) + 核弹打击(3),15,含自制/未知因子·需人工,未识别:AlaTao
267,破灭之音,黑暗杀星,默哀(2) + 力量蜕变(7) + 相互摧毁(5) + 短视症(1),15,含自制/未知因子·需人工,未识别:星宫六喰
278,埃蒙之赐,黑暗杀星,虚空裂隙(10) + 相互摧毁(5),15,含自制/未知因子·需人工,未识别:yuanchuanchen
299,同化完成,虚空撕裂,给我死吧(7) + 同化体(8),15,含自制/未知因子·需人工,未识别:我玩原神怎么你了？
215,钢铁狂潮,湮灭快车,丧尸大战(3) + 同化体(8) + 暗无天日(2) + 轨道轰炸(1),14,含自制/未知因子·需人工,未识别:三星沙口
221,龙战于野,黑暗杀星,小捞油水(5) + 强磁雷场(4) + 相互摧毁(5),14,含自制/未知因子·需人工,未识别:轻轻地我走了
222,黑暗降临,湮灭快车,默哀(2) + 强磁雷场(4) + 复仇战士(5) + 进攻部署(3),14,含自制/未知因子·需人工,未识别:三星沙口
240,烈焰冲天,净网行动,扫雷专家(6) + 进攻部署(3) + 光子过载(1) + 暴风雪(4),14,含自制/未知因子·需人工,未识别:三星沙口
